#id:	Ec_P2_NC_001895
#START	STOP	FRAME	CONTIG	SCORE
1221	187	-	Ec_P2_NC_001895	-2737509.274846933123017566906	
2993	1221	-	Ec_P2_NC_001895	-261013196.0138221939688650192	
3101	4021	+	Ec_P2_NC_001895	-84025.69051171930759088070987	
4080	5153	+	Ec_P2_NC_001895	-754253.8821377235454964543334	
5157	5900	+	Ec_P2_NC_001895	-1186.342514779453849423697886	
6000	6509	+	Ec_P2_NC_001895	-424.7142760356403041439970536	
6509	6712	+	Ec_P2_NC_001895	-4.312406182598192880144732619	
6716	6997	+	Ec_P2_NC_001895	-27.71323627539058838420997143	
6997	7494	+	Ec_P2_NC_001895	-180.1709407776379304901091847	
7509	7934	+	Ec_P2_NC_001895	-81.03652389765310327308472751	
7922	8347	+	Ec_P2_NC_001895	-115.0514333097628588241876293	
8334	8492	+	Ec_P2_NC_001895	-5.195788452369060491146306321	
8455	8922	+	Ec_P2_NC_001895	-452.0861233720876267744282991	
8915	9367	+	Ec_P2_NC_001895	-213.5152961362882297531328760	
10224	9439	-	Ec_P2_NC_001895	-4781051.682156291701560986019	
10308	10943	+	Ec_P2_NC_001895	-259.2350734693583391747836536	
10940	11287	+	Ec_P2_NC_001895	-46.63469784494219553461905670	
11292	12200	+	Ec_P2_NC_001895	-3367.214544148924845038650029	
12193	12723	+	Ec_P2_NC_001895	-1104.753827915848411846332034	
12734	14743	+	Ec_P2_NC_001895	-221588483.8649031196641744518	
14747	15274	+	Ec_P2_NC_001895	-1287.266860157672434321681838	
15276	15365	+	Ec_P2_NC_001895	-0.1246911290133524042496636046	
15455	15559	+	Ec_P2_NC_001895	-3.460916813901837321516025568	
17261	15675	-	Ec_P2_NC_001895	-31040034.94713418428911527867	
17430	17269	-	Ec_P2_NC_001895	-0.1130362787368660486657763007	
17632	17402	-	Ec_P2_NC_001895	-9.356632793097072987695266564	
17652	18842	+	Ec_P2_NC_001895	-3327516.811311993419867587665	
18861	19373	+	Ec_P2_NC_001895	-1474.125227114143206610840129	
19430	19705	+	Ec_P2_NC_001895	-20.16464424797625840962598638	
19738	19857	+	Ec_P2_NC_001895	-3.366981319021414178125741997	
19850	22297	+	Ec_P2_NC_001895	-397855742235.2752514842458191	
22312	22791	+	Ec_P2_NC_001895	-487.9918117592477459465163553	
22791	23954	+	Ec_P2_NC_001895	-3910892.683098209843149134387	
24000	24254	+	Ec_P2_NC_001895	-17.36930908227285527999086975	
24445	24335	-	Ec_P2_NC_001895	-0.3640476387340765738834700985	
25475	24462	-	Ec_P2_NC_001895	-173428.3846015621287699846439	
25890	25591	-	Ec_P2_NC_001895	-19.28573543502988814440652283	
26005	26280	+	Ec_P2_NC_001895	-11.42698958901302649041152830	
26291	26461	+	Ec_P2_NC_001895	-11.42904913287067947613910745	
26452	26958	+	Ec_P2_NC_001895	-1059.122323754783791491399501	
27022	27246	+	Ec_P2_NC_001895	-32.47624638939374233145102287	
27246	27548	+	Ec_P2_NC_001895	-476.8265519354663359174817065	
27548	27772	+	Ec_P2_NC_001895	-3.168771211107112251868995188	
27769	28044	+	Ec_P2_NC_001895	-84.64826221465677403204051296	
28034	30319	+	Ec_P2_NC_001895	-26512944043.23879676388508894	
30316	30645	+	Ec_P2_NC_001895	-374.1795007396255264892130071	
31445	30684	-	Ec_P2_NC_001895	-912.4087068800764604129079179	
33380	31620	-	Ec_P2_NC_001895	-3864759.634110900608389788982	
33550	33380	-	Ec_P2_NC_001895	-7.412014785159003577720859187	
